peptide,1,2,3,4,5
CPRP,1300.69,650.85,434.24,325.93,260.94
CPRP,1368.75,684.88,456.92,342.94,274.56
CPRP,1385.78,693.39,462.6,347.2,277.96
CPRP,1395.76,698.39,465.93,349.7,279.96
CPRP,1396.75,698.88,466.25,349.94,280.16
CPRP,1413.77,707.39,471.93,354.2,283.56
CPRP,1439.79,720.4,480.6,360.7,288.76
CPRP,1456.82,728.91,486.28,364.96,292.17
CPRP,1466.8,733.9,489.61,367.46,294.17
CPRP,1467.78,734.4,489.93,367.7,294.36
CPRP,1484.81,742.91,495.61,371.96,297.77
CPRP,1526.82,763.91,509.61,382.46,306.17
CPRP,1543.85,772.43,515.29,386.72,309.58
CPRP,1553.83,777.42,518.62,389.21,311.57
CPRP,1554.82,777.91,518.94,389.46,311.77
CPRP,1571.84,786.43,524.62,393.72,315.17
CPRP,1639.91,820.46,547.31,410.73,328.79
CPRP,1656.93,828.97,552.98,414.99,332.19
CPRP,1666.92,833.96,556.31,417.49,334.19
CPRP,1667.9,834.45,556.64,417.73,334.39
CPRP,1684.93,842.97,562.31,421.99,337.79
CPRP,1768,884.5,590.01,442.76,354.41
CPRP,1785.03,893.02,595.68,447.01,357.81
CPRP,1795.01,898.01,599.01,449.51,359.81
CPRP,1796,898.5,599.34,449.75,360.01
CPRP,1813.02,907.02,605.01,454.01,363.41
CPRP,1855.03,928.02,619.02,464.51,371.81
CPRP,1872.06,936.53,624.69,468.77,375.22
CPRP,1882.04,941.53,628.02,471.27,377.22
CPRP,1883.03,942.02,628.35,471.51,377.41
CPRP,1900.05,950.53,634.02,475.77,380.82
CPRP,1970.06,985.53,657.36,493.27,394.82
CPRP,1987.09,994.05,663.03,497.53,398.22
CPRP,1997.07,999.04,666.36,500.02,400.22
CPRP,1998.05,999.53,666.69,500.27,400.42
CPRP,2015.08,1008.04,672.37,504.53,403.82
CPRP,2071.11,1036.06,691.04,518.53,415.03
CPRP,2088.13,1044.57,696.72,522.79,418.43
CPRP,2098.12,1049.56,700.04,525.29,420.43
CPRP,2099.1,1050.06,700.37,525.53,420.63
CPRP,2116.13,1058.57,706.05,529.79,424.03
CPRP,2170.18,1085.59,724.06,543.3,434.84
CPRP,2187.2,1094.11,729.74,547.56,438.25
CPRP,2197.19,1099.1,733.07,550.05,440.24
CPRP,2198.17,1099.59,733.4,550.3,440.44
CPRP,2215.2,1108.1,739.07,554.56,443.85
CPRP,2271.22,1136.12,757.75,568.56,455.05
