Species,1,2,3,4,5
SG-CHH-pyro-Q,1498.6631,,,,
SG-CHH-pyro-Q,1524.6788,,,,
SG-CHH-pyro-Q,1541.7053,,,,
SG-CHH-pyro-Q,1551.6897,,,,
SG-CHH-pyro-Q,1552.6737,,,,
SG-CHH-pyro-Q,1569.7002,,,,
SG-CHH-pyro-Q,1591.8227,,,,
SG-CHH-pyro-Q,1592.8067,,,,
SG-CHH-pyro-Q,1609.8333,,,,
SG-CHH-pyro-Q,1637.7628,,,,
SG-CHH-pyro-Q,1654.7894,,,,
SG-CHH-pyro-Q,1664.7737,,,,
SG-CHH-pyro-Q,1665.7577,,,,
SG-CHH-pyro-Q,1682.7843,,,,
SG-CHH-pyro-Q,1722.8632,,,,
SG-CHH-pyro-Q,1723.8472,,,,
SG-CHH-pyro-Q,1740.8738,,,,
SG-CHH-pyro-Q,1784.8312,,,,
SG-CHH-pyro-Q,1801.8578,,,,
SG-CHH-pyro-Q,1811.8421,,,,
SG-CHH-pyro-Q,1812.8261,,,,
SG-CHH-pyro-Q,1829.8527,,,,
SG-CHH-pyro-Q,1835.9473,,,,
SG-CHH-pyro-Q,1836.9313,,,,
SG-CHH-pyro-Q,1853.9578,,,,
SG-CHH-pyro-Q,1898.8742,,,,
SG-CHH-pyro-Q,1915.9007,,,,
SG-CHH-pyro-Q,1925.8851,,,,
SG-CHH-pyro-Q,1926.8691,,,,
SG-CHH-pyro-Q,1943.8956,,,,
SG-CHH-pyro-Q,1949.0313,,,,
SG-CHH-pyro-Q,1950.0153,,,,
SG-CHH-pyro-Q,1967.0419,,,,
SG-CHH-pyro-Q,2027.9168,,,,
SG-CHH-pyro-Q,2044.9433,,,,
SG-CHH-pyro-Q,2054.9277,,,,
SG-CHH-pyro-Q,2055.9117,,,,
SG-CHH-pyro-Q,2062.1154,,,,
SG-CHH-pyro-Q,2063.0994,,,,
SG-CHH-pyro-Q,2072.9382,,,,
SG-CHH-pyro-Q,2080.126,,,,
SG-CHH-pyro-Q,2141.0008,,,,
SG-CHH-pyro-Q,2158.0274,,,,
SG-CHH-pyro-Q,2168.0117,,,,
SG-CHH-pyro-Q,2168.9957,,,,
SG-CHH-pyro-Q,2177.1423,,,,
SG-CHH-pyro-Q,2178.1264,,,,
SG-CHH-pyro-Q,2186.0223,,,,
SG-CHH-pyro-Q,2195.1529,,,,
SG-CHH-pyro-Q,2270.0434,,,,
SG-CHH-pyro-Q,2287.07,,,,
SG-CHH-pyro-Q,2297.0543,,,,
SG-CHH-pyro-Q,2298.0383,,,,
SG-CHH-pyro-Q,2306.1849,,,,
SG-CHH-pyro-Q,2307.1689,,,,
SG-CHH-pyro-Q,2315.0649,,,,
SG-CHH-pyro-Q,2324.1955,,,,
SG-CHH-pyro-Q,2407.1023,,,,
SG-CHH-pyro-Q,2424.1289,,,,
SG-CHH-pyro-Q,2434.1132,,,,
SG-CHH-pyro-Q,2435.0972,,,,
SG-CHH-pyro-Q,2437.2254,,,,
SG-CHH-pyro-Q,2438.2094,,,,
SG-CHH-pyro-Q,2452.1238,,,,
SG-CHH-pyro-Q,2455.236,,,,
SG-CHH-pyro-Q,2506.1707,,,,
SG-CHH-pyro-Q,2523.1973,,,,
SG-CHH-pyro-Q,2533.1816,,,,
SG-CHH-pyro-Q,2534.1657,,,,
SG-CHH-pyro-Q,2540.2346,,,,
SG-CHH-pyro-Q,2541.2186,,,,
SG-CHH-pyro-Q,2551.1922,,,,
SG-CHH-pyro-Q,2558.2452,,,,
SG-CHH-pyro-Q,2609.1799,,,,
SG-CHH-pyro-Q,2626.2065,,,,
SG-CHH-pyro-Q,2636.1908,,,,
SG-CHH-pyro-Q,2637.1748,,,,
SG-CHH-pyro-Q,2654.2014,,,,
SG-CHH-pyro-Q,2668.2932,,,,
SG-CHH-pyro-Q,2669.2772,,,,
SG-CHH-pyro-Q,2686.3037,,,,
SG-CHH-pyro-Q,2724.2069,,,,
SG-CHH-pyro-Q,2741.2334,,,,
SG-CHH-pyro-Q,2751.2178,,,,
SG-CHH-pyro-Q,2752.2018,,,,
SG-CHH-pyro-Q,2769.2283,,,,
SG-CHH-pyro-Q,2824.3943,,,,
SG-CHH-pyro-Q,2825.3783,,,,
SG-CHH-pyro-Q,2839.2338,,,,
SG-CHH-pyro-Q,2842.4049,,,,
SG-CHH-pyro-Q,2856.2604,,,,
SG-CHH-pyro-Q,2866.2447,,,,
SG-CHH-pyro-Q,2867.2287,,,,
SG-CHH-pyro-Q,2884.2553,,,,
SG-CHH-pyro-Q,2937.4784,,,,
SG-CHH-pyro-Q,2938.4624,,,,
SG-CHH-pyro-Q,2942.243,,,,
SG-CHH-pyro-Q,2955.4889,,,,
SG-CHH-pyro-Q,2959.2695,,,,
SG-CHH-pyro-Q,2969.2539,,,,
SG-CHH-pyro-Q,2970.2379,,,,
SG-CHH-pyro-Q,2987.2645,,,,
SG-CHH-pyro-Q,3036.5468,,,,
SG-CHH-pyro-Q,3037.5308,,,,
SG-CHH-pyro-Q,3054.5573,,,,
SG-CHH-pyro-Q,3105.3063,,,,
SG-CHH-pyro-Q,3122.3329,,,,
SG-CHH-pyro-Q,3132.3172,,,,
SG-CHH-pyro-Q,3133.3012,,,,
SG-CHH-pyro-Q,3150.3278,,,,
SG-CHH-pyro-Q,3167.5872,,,,
SG-CHH-pyro-Q,3168.5713,,,,
SG-CHH-pyro-Q,3185.5978,,,,
SG-CHH-pyro-Q,3219.3492,,,,
SG-CHH-pyro-Q,3236.3758,,,,
SG-CHH-pyro-Q,3246.3601,,,,
SG-CHH-pyro-Q,3247.3442,,,,
SG-CHH-pyro-Q,3264.3707,,,,
SG-CHH-pyro-Q,3281.6302,,,,
SG-CHH-pyro-Q,3282.6142,,,,
SG-CHH-pyro-Q,3299.6407,,,,
SG-CHH-pyro-Q,3332.4333,,,,
SG-CHH-pyro-Q,3349.4599,,,,
SG-CHH-pyro-Q,3359.4442,,,,
SG-CHH-pyro-Q,3360.4282,,,,
SG-CHH-pyro-Q,3368.6622,,,,
SG-CHH-pyro-Q,3369.6462,,,,
SG-CHH-pyro-Q,3377.4548,,,,
SG-CHH-pyro-Q,3386.6728,,,,
SG-CHH-pyro-Q,3495.4966,,,,
SG-CHH-pyro-Q,3512.5232,,,,
SG-CHH-pyro-Q,3522.5075,,,,
SG-CHH-pyro-Q,3523.4916,,,,
SG-CHH-pyro-Q,3531.7255,,,,
SG-CHH-pyro-Q,3532.7095,,,,
SG-CHH-pyro-Q,3540.5181,,,,
SG-CHH-pyro-Q,3549.7361,,,,
SG-CHH-pyro-Q,3634.7347,,,,
SG-CHH-pyro-Q,3635.7187,,,,
SG-CHH-pyro-Q,3651.5978,,,,
SG-CHH-pyro-Q,3652.7453,,,,
SG-CHH-pyro-Q,3668.6243,,,,
SG-CHH-pyro-Q,3678.6086,,,,
SG-CHH-pyro-Q,3679.5927,,,,
SG-CHH-pyro-Q,3696.6192,,,,
SG-CHH-pyro-Q,3748.7776,,,,
SG-CHH-pyro-Q,3749.7617,,,,
SG-CHH-pyro-Q,3765.6407,,,,
SG-CHH-pyro-Q,3766.7882,,,,
SG-CHH-pyro-Q,3782.6672,,,,
SG-CHH-pyro-Q,3792.6516,,,,
SG-CHH-pyro-Q,3793.6356,,,,
SG-CHH-pyro-Q,3810.6621,,,,
SG-CHH-pyro-Q,3835.8097,,,,
SG-CHH-pyro-Q,3836.7937,,,,
SG-CHH-pyro-Q,3852.6727,,,,
SG-CHH-pyro-Q,3853.8202,,,,
SG-CHH-pyro-Q,3869.6993,,,,
SG-CHH-pyro-Q,3879.6836,,,,
SG-CHH-pyro-Q,3880.6676,,,,
SG-CHH-pyro-Q,3897.6942,,,,
SG-CHH-pyro-Q,3991.9108,,,,
SG-CHH-pyro-Q,3992.8948,,,,
SG-CHH-pyro-Q,4008.7738,,,,
SG-CHH-pyro-Q,4009.9214,,,,
SG-CHH-pyro-Q,4025.8004,,,,
SG-CHH-pyro-Q,4035.7847,,,,
SG-CHH-pyro-Q,4036.7687,,,,
SG-CHH-pyro-Q,4053.7953,,,,
SG-CHH-pyro-Q,4094.92,,,,
SG-CHH-pyro-Q,4095.904,,,,
SG-CHH-pyro-Q,4107.8422,,,,
SG-CHH-pyro-Q,4112.9305,,,,
SG-CHH-pyro-Q,4124.8688,,,,
SG-CHH-pyro-Q,4134.8531,,,,
SG-CHH-pyro-Q,4135.8371,,,,
SG-CHH-pyro-Q,4151.9414,,,,
SG-CHH-pyro-Q,4152.8637,,,,
SG-CHH-pyro-Q,4152.9254,,,,
SG-CHH-pyro-Q,4169.952,,,,
SG-CHH-pyro-Q,4178.8793,,,,
SG-CHH-pyro-Q,4195.9059,,,,
SG-CHH-pyro-Q,4205.8902,,,,
SG-CHH-pyro-Q,4206.8743,,,,
SG-CHH-pyro-Q,4223.9008,,,,
SG-CHH-pyro-Q,4238.9735,,,,
SG-CHH-pyro-Q,4239.9575,,,,
SG-CHH-pyro-Q,4256.984,,,,
SG-CHH-pyro-Q,4265.9114,,,,
SG-CHH-pyro-Q,4282.9379,,,,
SG-CHH-pyro-Q,4292.9223,,,,
SG-CHH-pyro-Q,4293.9063,,,,
SG-CHH-pyro-Q,4310.0106,,,,
SG-CHH-pyro-Q,4310.9328,,,,
SG-CHH-pyro-Q,4310.9946,,,,
SG-CHH-pyro-Q,4322.9328,,,,
SG-CHH-pyro-Q,4328.0211,,,,
SG-CHH-pyro-Q,4339.9594,,,,
SG-CHH-pyro-Q,4349.9437,,,,
SG-CHH-pyro-Q,4350.9278,,,,
SG-CHH-pyro-Q,4367.9543,,,,
SG-CHH-pyro-Q,4409.079,,,,
